      --------Part 1--------   --------Part 2--------
Day       Time   Rank  Score       Time   Rank  Score
 13       >24h   9779      0       >24h   9422      0
 12       >24h  11182      0       >24h  10884      0
 11       >24h   7417      0       >24h   7031      0
 10       >24h  11292      0       >24h  11123      0
  9       >24h  13768      0       >24h  11846      0
  8       >24h  14808      0       >24h  14569      0
  7       >24h  16803      0       >24h  15245      0
  6       >24h  19605      0       >24h  18833      0
  5       >24h  18644      0       >24h  17892      0
  4       >24h  20286      0       >24h  19215      0
  3       >24h  25365      0       >24h  22704      0
  2       >24h  27139      0       >24h  24091      0
  1       >24h  34765      0       >24h  27101      0
