      --------Part 1---------   --------Part 2---------
Day       Time    Rank  Score       Time    Rank  Score
 25   13:17:41   15277      0   13:18:10    9328      0
 24   06:36:07   11920      0   07:45:27    4295      0
 23   07:44:24   12895      0   07:53:05   10218      0
 22   07:57:47   13016      0   08:21:50    9790      0
 21   08:03:15    5757      0   10:33:37    4310      0
 20   07:10:26   12018      0   07:37:41    8270      0
 19   07:17:13   14915      0   07:19:59   12429      0
 18   06:38:24   13995      0   06:51:15   13274      0
 17   07:33:47   15079      0   09:05:59    7152      0
 16   07:36:19   12648      0   08:18:34    8895      0
 15   07:51:56   17842      0   08:23:59   10077      0
 14   06:50:12   18194      0   07:19:19   14422      0
 13   06:45:12   19126      0   07:33:15   14939      0
 12   07:25:24   21029      0   07:49:46   11686      0
 11   07:05:24   28994      0   07:17:31   19360      0
 10   10:51:22   30257      0   10:52:10   29045      0
  9   07:23:54   25619      0   07:32:19   16224      0
  8   07:35:39   26750      0   07:37:39   24005      0
  7   08:01:32   29681      0   08:10:16   27082      0
  6   07:04:43   34915      0       >24h   46903      0
  5   08:04:59   40462      0   08:10:09   31847      0
  4   07:33:53   41264      0   07:43:03   35252      0
  3   09:53:26   65231      0   10:02:58   54671      0
  2   12:10:20   78024      0   12:13:02   55710      0
  1       >24h  135368      0       >24h  126387      0
