25       0      0
24    4295   8699  ***
23   17310   2451  ****
22   18556   3317  ****
21   12818   3771  ****
20   20570   3725  *****
19   25927   2721  ******
18   28585    681  ******
17   23116   9797  ******
16   26399   5723  ******
15   30868   9465  *******
14   40730   4685  ********
13   42832   5150  ********
12   40957  11021  *********
11   54825   8762  ***********
10   59773   1339  ***********
 9   58244  11189  ************
 8   68618   2934  ************
 7   79362   4193  **************
 6   75430  26126  *****************
 5  101141  13177  ********************
 4  122713  10594  **********************
 3  152070  16510  ****************************
 2  167334  41187  **********************************
 1  234941  17178  *****************************************
